,County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
526,New Haven,854757.0,669433,78.32,609016,71.25,,,02/17/2022
527,New London,265206.0,203788,76.84,186822,70.44,,,02/17/2022
528,Tolland,150721.0,107662,71.43,99873,66.26,,,02/17/2022
529,Windham,116782.0,77187,66.09,70566,60.43,,,02/17/2022
530,Address pending validation,,14484,,12042,,,,02/17/2022
531,Fairfield,943332.0,804865,85.32,715237,75.82,,,02/23/2022
532,Hartford,891720.0,707694,79.36,649347,72.82,,,02/23/2022
533,Litchfield,180333.0,142769,79.17,131912,73.15,,,02/23/2022
534,Middlesex,162436.0,138065,85.0,128646,79.2,,,02/23/2022
535,New Haven,854757.0,671035,78.51,610987,71.48,,,02/23/2022
536,New London,265206.0,204263,77.02,187365,70.65,,,02/23/2022
537,Tolland,150721.0,107858,71.56,100137,66.44,,,02/23/2022
538,Windham,116782.0,77417,66.29,70803,60.63,,,02/23/2022
539,Address pending validation,,14519,,12026,,,,02/23/2022
540,Fairfield,943332.0,806539,85.5,717106,76.02,,,03/02/2022
541,Hartford,891720.0,709031,79.51,651104,73.02,,,03/02/2022
542,Litchfield,180333.0,142886,79.23,132078,73.24,,,03/02/2022
543,Middlesex,162436.0,138161,85.06,128792,79.29,,,03/02/2022
544,New Haven,854757.0,672327,78.66,612516,71.66,,,03/02/2022
545,New London,265206.0,204563,77.13,187750,70.79,,,03/02/2022
546,Tolland,150721.0,108005,71.66,100298,66.55,,,03/02/2022
547,Windham,116782.0,77681,66.52,70986,60.79,,,03/02/2022
548,Address pending validation,,14699,,12129,,,,03/02/2022
549,Fairfield,943332.0,807765,85.63,718453,76.16,,,03/09/2022
550,Hartford,891720.0,710081,79.63,652331,73.15,,,03/09/2022
551,Litchfield,180333.0,143030,79.31,132241,73.33,,,03/09/2022
552,Middlesex,162436.0,138274,85.13,128942,79.38,,,03/09/2022
553,New Haven,854757.0,673510,78.8,613777,71.81,,,03/09/2022
554,New London,265206.0,204796,77.22,188063,70.91,,,03/09/2022
555,Tolland,150721.0,108196,71.79,100512,66.69,,,03/09/2022
556,Windham,116782.0,77823,66.64,71164,60.94,,,03/09/2022
557,Address pending validation,,14740,,12159,,,,03/09/2022
558,Fairfield,943332.0,808790,85.74,719568,76.28,,,03/16/2022
559,Hartford,891720.0,710791,79.71,653390,73.27,,,03/16/2022
560,Litchfield,180333.0,143098,79.35,132354,73.39,,,03/16/2022
561,Middlesex,162436.0,138415,85.21,129166,79.52,,,03/16/2022
562,New Haven,854757.0,674432,78.9,614903,71.94,,,03/16/2022
563,New London,265206.0,204824,77.23,188121,70.93,,,03/16/2022
564,Tolland,150721.0,108285,71.84,100630,66.77,,,03/16/2022
565,Windham,116782.0,77906,66.71,71284,61.04,,,03/16/2022
566,Address pending validation,,15283,,12664,,,,03/16/2022
567,Fairfield,943332.0,809258,85.79,720452,76.37,,,03/23/2022
568,Hartford,891720.0,712204,79.87,654928,73.45,,,03/23/2022
569,Litchfield,180333.0,143286,79.46,132598,73.53,,,03/23/2022
570,Middlesex,162436.0,138368,85.18,129231,79.56,,,03/23/2022
571,New Haven,854757.0,675060,78.98,615823,72.05,,,03/23/2022
572,New London,265206.0,205197,77.37,188560,71.1,,,03/23/2022
573,Tolland,150721.0,108289,71.85,100699,66.81,,,03/23/2022
574,Windham,116782.0,77985,66.78,71372,61.12,,,03/23/2022
575,Address pending validation,,14180,,11714,,,,03/23/2022
576,Fairfield,943332.0,810118,85.88,721567,76.49,,,03/30/2022
577,Hartford,891720.0,713171,79.98,656417,73.61,,,03/30/2022
578,Litchfield,180333.0,143381,79.51,132722,73.6,,,03/30/2022
579,Middlesex,162436.0,138407,85.21,129319,79.61,,,03/30/2022
580,New Haven,854757.0,675835,79.07,616782,72.16,,,03/30/2022
581,New London,265206.0,205362,77.43,188786,71.18,,,03/30/2022
582,Tolland,150721.0,108387,71.91,100836,66.9,,,03/30/2022
583,Windham,116782.0,78034,66.82,71461,61.19,,,03/30/2022
584,Address pending validation,,14210,,11734,,,,03/30/2022
585,Fairfield,943332.0,810943,85.97,723064,76.65,,,04/06/2022
586,Hartford,891720.0,713895,80.06,657486,73.73,,,04/06/2022
587,Litchfield,180333.0,143449,79.55,132875,73.68,,,04/06/2022
588,Middlesex,162436.0,138513,85.27,129465,79.7,,,04/06/2022
589,New Haven,854757.0,676487,79.14,617749,72.27,,,04/06/2022
590,New London,265206.0,205578,77.52,189052,71.28,,,04/06/2022
591,Tolland,150721.0,108466,71.96,100966,66.99,,,04/06/2022
592,Windham,116782.0,78084,66.86,71560,61.28,,,04/06/2022
593,Address pending validation,,14134,,11662,,,,04/06/2022
594,Fairfield,943332.0,811744,86.05,724229,76.77,,,04/13/2022
595,Hartford,891720.0,714524,80.13,658389,73.83,,,04/13/2022
596,Litchfield,180333.0,143509,79.58,133039,73.77,,,04/13/2022
597,Middlesex,162436.0,138592,85.32,129616,79.8,,,04/13/2022
598,New Haven,854757.0,677157,79.22,618734,72.39,,,04/13/2022
599,New London,265206.0,205756,77.58,189400,71.42,,,04/13/2022
600,Tolland,150721.0,108546,72.02,101117,67.09,,,04/13/2022
601,Windham,116782.0,78145,66.92,71653,61.36,,,04/13/2022
602,Address pending validation,,14074,,11589,,,,04/13/2022
603,Fairfield,943332.0,812490,86.13,725257,76.88,,,04/20/2022
604,Hartford,891720.0,715185,80.2,659250,73.93,,,04/20/2022
605,Litchfield,180333.0,143625,79.64,133176,73.85,,,04/20/2022
606,Middlesex,162436.0,138686,85.38,129753,79.88,,,04/20/2022
607,New Haven,854757.0,677731,79.29,619523,72.48,,,04/20/2022
608,New London,265206.0,205956,77.66,189698,71.53,,,04/20/2022
609,Tolland,150721.0,108618,72.07,101201,67.14,,,04/20/2022
610,Windham,116782.0,78205,66.97,71753,61.44,,,04/20/2022
611,Address pending validation,,14056,,11570,,,,04/20/2022
612,Fairfield,943332.0,813250,86.21,726267,76.99,384759.0,40.79,04/27/2022
613,Hartford,891720.0,715823,80.27,660076,74.02,376070.0,42.17,04/27/2022
614,Litchfield,180333.0,143732,79.7,133322,73.93,76780.0,42.58,04/27/2022
615,Middlesex,162436.0,138746,85.42,129852,79.94,81560.0,50.21,04/27/2022
616,New Haven,854757.0,678443,79.37,620405,72.58,345954.0,40.47,04/27/2022
617,New London,265206.0,206148,77.73,189939,71.62,109633.0,41.34,04/27/2022
618,Tolland,150721.0,108718,72.13,101338,67.24,61603.0,40.87,04/27/2022
619,Windham,116782.0,78278,67.03,71841,61.52,38066.0,32.6,04/27/2022
620,Address pending validation,,13987,,11458,,3603.0,,04/27/2022
621,Fairfield,943332.0,813080,86.19,727663,77.14,386802.0,41.0,05/04/2022
622,Hartford,891720.0,716203,80.32,661040,74.13,377705.0,42.36,05/04/2022
623,Litchfield,180333.0,143747,79.71,133462,74.01,77082.0,42.74,05/04/2022
624,Middlesex,162436.0,138810,85.46,129987,80.02,81868.0,50.4,05/04/2022
625,New Haven,854757.0,678664,79.4,621248,72.68,347524.0,40.66,05/04/2022
626,New London,265206.0,206306,77.79,190214,71.72,110048.0,41.5,05/04/2022
627,Tolland,150721.0,108773,72.17,101420,67.29,61777.0,40.99,05/04/2022
628,Windham,116782.0,78317,67.06,71922,61.59,38214.0,32.72,05/04/2022
629,Address pending validation,,13979,,11444,,3622.0,,05/04/2022
630,Fairfield,943332.0,812621,86.14,729232,77.3,388707.0,41.21,05/11/2022
631,Hartford,891720.0,716529,80.35,661978,74.24,379348.0,42.54,05/11/2022
632,Litchfield,180333.0,143795,79.74,133615,74.09,77377.0,42.91,05/11/2022
633,Middlesex,162436.0,138871,85.49,130128,80.11,82229.0,50.62,05/11/2022
634,New Haven,854757.0,678786,79.41,622246,72.8,349088.0,40.84,05/11/2022
635,New London,265206.0,206492,77.86,190478,71.82,110496.0,41.66,05/11/2022
636,Tolland,150721.0,108819,72.2,101512,67.35,61998.0,41.13,05/11/2022
637,Windham,116782.0,78341,67.08,72038,61.69,38399.0,32.88,05/11/2022
638,Address pending validation,,13886,,11393,,3611.0,,05/11/2022
639,Fairfield,943332.0,812580,86.14,730549,77.44,390716.0,41.42,05/18/2022
640,Hartford,891720.0,716706,80.37,662767,74.32,381149.0,42.74,05/18/2022
641,Litchfield,180333.0,143806,79.74,133719,74.15,77648.0,43.06,05/18/2022
642,Middlesex,162436.0,138907,85.51,130224,80.17,82509.0,50.79,05/18/2022
643,New Haven,854757.0,678858,79.42,622997,72.89,350563.0,41.01,05/18/2022
644,New London,265206.0,206589,77.9,190725,71.92,111007.0,41.86,05/18/2022
645,Tolland,150721.0,108816,72.2,101564,67.39,62187.0,41.26,05/18/2022
646,Windham,116782.0,78368,67.11,72119,61.76,38577.0,33.03,05/18/2022
647,Address pending validation,,13810,,11338,,3608.0,,05/18/2022
648,Fairfield,943332.0,812662,86.15,731549,77.55,393414.0,41.7,05/25/2022
649,Hartford,891720.0,716896,80.39,663779,74.44,383518.0,43.01,05/25/2022
650,Litchfield,180333.0,143759,79.72,133855,74.23,78040.0,43.28,05/25/2022
651,Middlesex,162436.0,138824,85.46,130382,80.27,83004.0,51.1,05/25/2022
652,New Haven,854757.0,678889,79.42,623652,72.96,352658.0,41.26,05/25/2022
653,New London,265206.0,206598,77.9,190910,71.99,111652.0,42.1,05/25/2022
654,Tolland,150721.0,108800,72.19,101634,67.43,62489.0,41.46,05/25/2022
655,Windham,116782.0,78351,67.09,72196,61.82,38780.0,33.21,05/25/2022
656,Address pending validation,,13712,,11257,,3609.0,,05/25/2022
657,Fairfield,957418.0,812405,84.85,732391,76.5,395866.0,41.35,06/01/2022
658,Hartford,899499.0,716579,79.66,664216,73.84,385322.0,42.84,06/01/2022
659,Litchfield,185186.0,143664,77.58,133937,72.33,78363.0,42.32,06/01/2022
660,Middlesex,164245.0,138682,84.44,130408,79.4,83332.0,50.74,06/01/2022
661,New Haven,864835.0,678604,78.47,624100,72.16,354478.0,40.99,06/01/2022
662,New London,268554.0,206557,76.91,191033,71.13,112122.0,41.75,06/01/2022
663,Tolland,149788.0,108747,72.6,101660,67.87,62758.0,41.9,06/01/2022
664,Windham,116419.0,78289,67.25,72233,62.05,38955.0,33.46,06/01/2022
665,Address pending validation,,13688,,11216,,3621.0,,06/01/2022
666,Fairfield,957418.0,811835,84.79,732954,76.56,398042.0,41.57,06/08/2022
667,Hartford,899499.0,716383,79.64,664732,73.9,387274.0,43.05,06/08/2022
668,Litchfield,185186.0,143583,77.53,134033,72.38,78753.0,42.53,06/08/2022
669,Middlesex,164245.0,138535,84.35,130426,79.41,83680.0,50.95,06/08/2022
670,New Haven,864835.0,678422,78.45,624614,72.22,356506.0,41.22,06/08/2022
671,New London,268554.0,206529,76.9,191174,71.19,113021.0,42.09,06/08/2022
672,Tolland,149788.0,108700,72.57,101739,67.92,63032.0,42.08,06/08/2022
673,Windham,116419.0,78302,67.26,72279,62.09,39211.0,33.68,06/08/2022
674,Address pending validation,,13598,,11163,,3619.0,,06/08/2022
675,Fairfield,957418.0,809496,84.55,731178,76.37,397742.0,41.54,06/15/2022
676,Hartford,899499.0,714823,79.47,663425,73.75,387099.0,43.03,06/15/2022
677,Litchfield,185186.0,143059,77.25,133583,72.13,78602.0,42.44,06/15/2022
678,Middlesex,164245.0,137207,83.54,129220,78.68,82920.0,50.49,06/15/2022
679,New Haven,864835.0,677145,78.3,623656,72.11,356793.0,41.26,06/15/2022
680,New London,268554.0,205438,76.5,190143,70.8,112540.0,41.91,06/15/2022
681,Tolland,149788.0,108363,72.34,101447,67.73,62911.0,42.0,06/15/2022
682,Windham,116419.0,78266,67.23,72265,62.07,39281.0,33.74,06/15/2022
683,Address pending validation,,12872,,10498,,3329.0,,06/15/2022
684,Fairfield,957418.0,809091,84.51,731250,76.38,399540.0,41.73,06/22/2022
685,Hartford,899499.0,715151,79.51,664198,73.84,388841.0,43.23,06/22/2022
686,Litchfield,185186.0,143072,77.26,133657,72.17,78937.0,42.63,06/22/2022
687,Middlesex,164245.0,137182,83.52,129344,78.75,83254.0,50.69,06/22/2022
688,New Haven,864835.0,677300,78.32,624077,72.16,358322.0,41.43,06/22/2022
689,New London,268554.0,205448,76.5,190225,70.83,112932.0,42.05,06/22/2022
690,Tolland,149788.0,108391,72.36,101500,67.76,63159.0,42.17,06/22/2022
691,Windham,116419.0,78267,67.23,72313,62.11,39420.0,33.86,06/22/2022
692,Address pending validation,,12772,,10413,,3310.0,,06/22/2022
693,Fairfield,957418.0,810363,84.64,731809,76.44,400920.0,41.88,06/29/2022
694,Hartford,899499.0,716279,79.63,664756,73.9,390209.0,43.38,06/29/2022
695,Litchfield,185186.0,143220,77.34,133752,72.23,79193.0,42.76,06/29/2022
696,Middlesex,164245.0,137350,83.63,129430,78.8,83509.0,50.84,06/29/2022
697,New Haven,864835.0,678402,78.44,624467,72.21,359501.0,41.57,06/29/2022
698,New London,268554.0,205700,76.6,190336,70.87,113303.0,42.19,06/29/2022
699,Tolland,149788.0,108526,72.45,101548,67.79,63343.0,42.29,06/29/2022
700,Windham,116419.0,78351,67.3,72355,62.15,39504.0,33.93,06/29/2022
701,Address pending validation,,12759,,10399,,3317.0,,06/29/2022
702,Fairfield,957418.0,812649,84.88,733339,76.6,402794.0,42.07,07/06/2022
703,Hartford,899499.0,717662,79.78,665600,74.0,391605.0,43.54,07/06/2022
704,Litchfield,185186.0,143382,77.43,133849,72.28,79366.0,42.86,07/06/2022
705,Middlesex,164245.0,137574,83.76,129532,78.87,83722.0,50.97,07/06/2022
706,New Haven,864835.0,679517,78.57,625250,72.3,360764.0,41.71,07/06/2022
707,New London,268554.0,206032,76.72,190531,70.95,113594.0,42.3,07/06/2022
708,Tolland,149788.0,108692,72.56,101653,67.86,63528.0,42.41,07/06/2022
709,Windham,116419.0,78412,67.35,72398,62.19,39572.0,33.99,07/06/2022
710,Address pending validation,,12744,,10382,,3322.0,,07/06/2022
711,Fairfield,957418.0,814031,85.02,733981,76.66,404235.0,42.22,07/14/2022
712,Hartford,899499.0,718810,79.91,666102,74.05,392771.0,43.67,07/14/2022
713,Litchfield,185186.0,143577,77.53,133972,72.34,79557.0,42.96,07/14/2022
714,Middlesex,164245.0,137755,83.87,129619,78.92,83944.0,51.11,07/14/2022
715,New Haven,864835.0,680599,78.7,625748,72.35,362024.0,41.86,07/14/2022
716,New London,268554.0,206308,76.82,190664,71.0,113904.0,42.41,07/14/2022
717,Tolland,149788.0,108851,72.67,101718,67.91,63699.0,42.53,07/14/2022
718,Windham,116419.0,78499,67.43,72454,62.24,39668.0,34.07,07/14/2022
719,Address pending validation,,12715,,10355,,3333.0,,07/14/2022
720,Fairfield,957418.0,815247,85.15,734753,76.74,405589.0,42.36,07/20/2022
721,Hartford,899499.0,719794,80.02,666963,74.15,394140.0,43.82,07/20/2022
722,Litchfield,185186.0,143737,77.62,134103,72.42,79766.0,43.07,07/20/2022
723,Middlesex,164245.0,137916,83.97,129752,79.0,84180.0,51.25,07/20/2022
724,New Haven,864835.0,681603,78.81,626377,72.43,363300.0,42.01,07/20/2022
725,New London,268554.0,206650,76.95,190922,71.09,114292.0,42.56,07/20/2022
726,Tolland,149788.0,108941,72.73,101816,67.97,63868.0,42.64,07/20/2022
727,Windham,116419.0,78577,67.49,72510,62.28,39774.0,34.16,07/20/2022
728,Address pending validation,,12685,,10323,,3317.0,,07/20/2022
729,Fairfield,957418.0,816279,85.26,735539,76.83,407492.0,42.56,07/27/2022
730,Hartford,899499.0,720767,80.13,667583,74.22,395983.0,44.02,07/27/2022
731,Litchfield,185186.0,143891,77.7,134241,72.49,80032.0,43.22,07/27/2022
732,Middlesex,164245.0,138055,84.05,129878,79.08,84607.0,51.51,07/27/2022
733,New Haven,864835.0,682411,78.91,627212,72.52,364925.0,42.2,07/27/2022
734,New London,268554.0,208715,77.72,193214,71.95,117511.0,43.76,07/27/2022
735,Tolland,149788.0,109111,72.84,101922,68.04,64183.0,42.85,07/27/2022
736,Windham,116419.0,79512,68.3,73650,63.26,40667.0,34.93,07/27/2022
737,Address pending validation,,12685,,10320,,3343.0,,07/27/2022
738,Address pending validation,,12650,,10309,,3343.0,,08/03/2022
739,Fairfield,957418.0,816733,85.31,736106,76.88,408685.0,42.69,08/03/2022
740,Hartford,899499.0,721431,80.2,668165,74.28,397258.0,44.16,08/03/2022
741,Litchfield,185186.0,143945,77.73,134324,72.53,80241.0,43.33,08/03/2022
742,Middlesex,164245.0,138113,84.09,129947,79.12,84799.0,51.63,08/03/2022
743,New Haven,864835.0,682857,78.96,627644,72.57,366008.0,42.32,08/03/2022
744,New London,268554.0,208840,77.76,193347,72.0,117836.0,43.88,08/03/2022
745,Tolland,149788.0,109144,72.87,101956,68.07,64366.0,42.97,08/03/2022
746,Windham,116419.0,79546,68.33,73684,63.29,40770.0,35.02,08/03/2022
747,Fairfield,957418.0,817225,85.36,736656,76.94,409822.0,42.8,08/10/2022
748,Hartford,899499.0,722091,80.28,668754,74.35,398500.0,44.3,08/10/2022
749,Litchfield,185186.0,144004,77.76,134358,72.55,80429.0,43.43,08/10/2022
750,Middlesex,164245.0,138155,84.12,130013,79.16,85015.0,51.76,08/10/2022
751,New Haven,864835.0,683372,79.02,628293,72.65,367096.0,42.45,08/10/2022
752,New London,268554.0,208972,77.81,193506,72.05,118133.0,43.99,08/10/2022
753,Tolland,149788.0,109188,72.9,102002,68.1,64539.0,43.09,08/10/2022
754,Windham,116419.0,79623,68.39,73722,63.32,40870.0,35.11,08/10/2022
755,Address pending validation,,12642,,10299,,3352.0,,08/10/2022
756,Fairfield,957418.0,817700,85.41,737241,77.0,410963.0,42.92,08/17/2022
757,Hartford,899499.0,722625,80.34,669269,74.4,399876.0,44.46,08/17/2022
758,Litchfield,185186.0,144032,77.78,134418,72.59,80648.0,43.55,08/17/2022
759,Middlesex,164245.0,138159,84.12,130067,79.19,85216.0,51.88,08/17/2022
760,New Haven,864835.0,683714,79.06,628828,72.71,368242.0,42.58,08/17/2022
761,New London,268554.0,209072,77.85,193625,72.1,118503.0,44.13,08/17/2022
762,Tolland,149788.0,109254,72.94,102045,68.13,64695.0,43.19,08/17/2022
763,Windham,116419.0,79679,68.44,73767,63.36,40989.0,35.21,08/17/2022
764,Address pending validation,,12625,,10283,,3364.0,,08/17/2022
765,Fairfield,957418.0,818303,85.47,737896,77.07,412301.0,43.06,08/24/2022
766,Hartford,899499.0,723176,80.4,669824,74.47,401325.0,44.62,08/24/2022
767,Litchfield,185186.0,144139,77.83,134507,72.63,80842.0,43.65,08/24/2022
768,Middlesex,164245.0,138201,84.14,130111,79.22,85483.0,52.05,08/24/2022
769,New Haven,864835.0,684062,79.1,629290,72.76,369329.0,42.71,08/24/2022
770,New London,268554.0,208926,77.8,193544,72.07,118768.0,44.22,08/24/2022
771,Tolland,149788.0,109349,73.0,102091,68.16,64903.0,43.33,08/24/2022
772,Windham,116419.0,79730,68.49,73807,63.4,41118.0,35.32,08/24/2022
773,Address pending validation,,12724,,10330,,3408.0,,08/24/2022
774,Fairfield,957418.0,818930,85.54,738456,77.13,413198.0,43.16,08/31/2022
775,Hartford,899499.0,723776,80.46,670306,74.52,402378.0,44.73,08/31/2022
776,Litchfield,185186.0,144171,77.85,134549,72.66,80983.0,43.73,08/31/2022
777,Middlesex,164245.0,138278,84.19,130185,79.26,85695.0,52.18,08/31/2022
778,New Haven,864835.0,684972,79.2,629947,72.84,370380.0,42.83,08/31/2022
779,New London,268554.0,209392,77.97,193968,72.23,119075.0,44.34,08/31/2022
780,Tolland,149788.0,109488,73.1,102128,68.18,65048.0,43.43,08/31/2022
781,Windham,116419.0,79815,68.56,73862,63.44,41226.0,35.41,08/31/2022
782,Address pending validation,,12705,,10321,,3413.0,,08/31/2022
783,Fairfield,957418.0,818963,85.54,738755,77.16,413560.0,43.2,09/07/2022
784,Hartford,899499.0,724022,80.49,670596,74.55,402828.0,44.78,09/07/2022
785,Litchfield,185186.0,144170,77.85,134578,72.67,81062.0,43.77,09/07/2022
786,Middlesex,164245.0,138283,84.19,130186,79.26,85740.0,52.2,09/07/2022
787,New Haven,864835.0,685241,79.23,630215,72.87,370726.0,42.87,09/07/2022
788,New London,268554.0,209397,77.97,194010,72.24,119194.0,44.38,09/07/2022
789,Tolland,149788.0,109478,73.09,102150,68.2,65118.0,43.47,09/07/2022
790,Windham,116419.0,79830,68.57,73897,63.48,41267.0,35.45,09/07/2022
791,Address pending validation,,12712,,10325,,3430.0,,09/07/2022
792,Fairfield,957418.0,819279,85.57,739439,77.23,414219.0,43.26,09/14/2022
793,Hartford,899499.0,724364,80.53,671287,74.63,403408.0,44.85,09/14/2022
794,Litchfield,185186.0,144157,77.84,134615,72.69,81158.0,43.83,09/14/2022
795,Middlesex,164245.0,138283,84.19,130282,79.32,85894.0,52.3,09/14/2022
796,New Haven,864835.0,685552,79.27,630730,72.93,371159.0,42.92,09/14/2022
797,New London,268554.0,209468,78.0,194190,72.31,119343.0,44.44,09/14/2022
798,Tolland,149788.0,109493,73.1,102236,68.25,65182.0,43.52,09/14/2022
799,Windham,116419.0,79887,68.62,73976,63.54,41339.0,35.51,09/14/2022
800,Address pending validation,,12695,,10323,,3455.0,,09/14/2022
